geral; gerador; descriminador 
0.2679; 0.9120; 1.4692 
0.2655; 0.9120; 1.4734 
0.2654; 0.9120; 1.4617 
0.2678; 0.9125; 1.4757 
0.2645; 0.9122; 1.4870 
0.2664; 0.9122; 1.4787 
0.2667; 0.9124; 1.4788 
0.2637; 0.9126; 1.4855 
0.2621; 0.9125; 1.4866 
0.2657; 0.9124; 1.4921 
0.2629; 0.9121; 1.4888 
0.2606; 0.9125; 1.4835 
0.2633; 0.9126; 1.4844 
0.2662; 0.9124; 1.4853 
0.2667; 0.9125; 1.4785 
0.2614; 0.9122; 1.4854 
0.2605; 0.9119; 1.4851 
0.2614; 0.9121; 1.4834 
0.2628; 0.9115; 1.4914 
0.2606; 0.9116; 1.4857 
0.2632; 0.9111; 1.4896 
0.2622; 0.9111; 1.4847 
0.2617; 0.9116; 1.4781 
0.2611; 0.9114; 1.4745 
0.2614; 0.9112; 1.4745 
0.2599; 0.9119; 1.4762 
0.2591; 0.9117; 1.4800 
0.2604; 0.9115; 1.4958 
0.1202; 0.9112; 1.5067 
0.1324; 0.9116; 1.4332 
0.1403; 0.9116; 1.3053 
0.1541; 0.9115; 1.3630 
0.1904; 0.9116; 1.3849 
0.2244; 0.9120; 1.4453 
0.2201; 0.9123; 1.4268 
0.2358; 0.9123; 1.4382 
0.2249; 0.9122; 1.4274 
0.2226; 0.9119; 1.4441 
0.2266; 0.9117; 1.4431 
0.2301; 0.9112; 1.4630 
0.2255; 0.9114; 1.4658 
0.2243; 0.9114; 1.4468 
0.2290; 0.9112; 1.4429 
0.2271; 0.9115; 1.4326 
0.2324; 0.9119; 1.4328 
0.2343; 0.9121; 1.4610 
0.2301; 0.9124; 1.4555 
0.2269; 0.9125; 1.4794 
0.2313; 0.9125; 1.4942 
0.2241; 0.9128; 1.4857 
0.2330; 0.9125; 1.4823 
